real.type	FS	HS	UR	total	pFS	pHS	pUR	sim
FS	12	0	0	12	1	0	0	conf.mat.13
HS	0	30	0	30	0	1	0	conf.mat.13
UR	0	34	9824	9858	0	0.00344897545141002	0.99655102454859	conf.mat.13
FS	6	0	0	6	1	0	0	conf.mat.14
HS	0	34	2	36	0	0.944444444444444	0.0555555555555556	conf.mat.14
UR	0	28	9830	9858	0	0.00284033272469061	0.997159667275309	conf.mat.14
FS	14	0	0	14	1	0	0	conf.mat.15
HS	0	26	0	26	0	1	0	conf.mat.15
UR	0	14	9846	9860	0	0.00141987829614604	0.998580121703854	conf.mat.15
FS	12	0	0	12	1	0	0	conf.mat.18
HS	0	28	0	28	0	1	0	conf.mat.18
UR	0	22	9838	9860	0	0.00223123732251521	0.997768762677485	conf.mat.18
FS	8	0	0	8	1	0	0	conf.mat.2
HS	0	38	0	38	0	1	0	conf.mat.2
UR	0	18	9836	9854	0	0.00182666937284352	0.998173330627157	conf.mat.2
FS	14	0	0	14	1	0	0	conf.mat.22
HS	0	32	0	32	0	1	0	conf.mat.22
UR	0	24	9830	9854	0	0.00243555916379135	0.997564440836209	conf.mat.22
FS	12	0	0	12	1	0	0	conf.mat.30
HS	0	36	0	36	0	1	0	conf.mat.30
UR	0	22	9830	9852	0	0.0022330491270808	0.997766950872919	conf.mat.30
FS	6	0	0	6	1	0	0	conf.mat.37
HS	0	28	0	28	0	1	0	conf.mat.37
UR	0	24	9842	9866	0	0.00243259679708088	0.997567403202919	conf.mat.37
FS	12	0	0	12	1	0	0	conf.mat.40
HS	0	38	0	38	0	1	0	conf.mat.40
UR	0	28	9822	9850	0	0.00284263959390863	0.997157360406091	conf.mat.40
FS	8	0	0	8	1	0	0	conf.mat.41
HS	0	30	0	30	0	1	0	conf.mat.41
UR	0	30	9832	9862	0	0.00304197931454066	0.996958020685459	conf.mat.41
FS	10	0	0	10	1	0	0	conf.mat.43
HS	0	34	0	34	0	1	0	conf.mat.43
UR	0	18	9838	9856	0	0.0018262987012987	0.998173701298701	conf.mat.43
FS	8	0	0	8	1	0	0	conf.mat.47
HS	0	34	0	34	0	1	0	conf.mat.47
UR	0	24	9834	9858	0	0.00243457090687766	0.997565429093122	conf.mat.47
FS	14	2	0	16	0.875	0.125	0	conf.mat.60
HS	0	34	0	34	0	1	0	conf.mat.60
UR	0	20	9830	9850	0	0.00203045685279188	0.997969543147208	conf.mat.60
FS	20	0	0	20	1	0	0	conf.mat.82
HS	0	34	2	36	0	0.944444444444444	0.0555555555555556	conf.mat.82
UR	0	22	9822	9844	0	0.00223486387647298	0.997765136123527	conf.mat.82
FS	8	0	0	8	1	0	0	conf.mat.83
HS	0	42	0	42	0	1	0	conf.mat.83
UR	0	18	9832	9850	0	0.00182741116751269	0.998172588832487	conf.mat.83
FS	8	0	0	8	1	0	0	conf.mat.87
HS	0	38	0	38	0	1	0	conf.mat.87
UR	0	28	9826	9854	0	0.00284148569108991	0.99715851430891	conf.mat.87
FS	8	0	0	8	1	0	0	conf.mat.88
HS	0	30	0	30	0	1	0	conf.mat.88
UR	0	24	9838	9862	0	0.00243358345163253	0.997566416548367	conf.mat.88
FS	12	0	0	12	1	0	0	conf.mat.9
HS	0	52	2	54	0	0.962962962962963	0.037037037037037	conf.mat.9
UR	0	10	9824	9834	0	0.00101688021151108	0.998983119788489	conf.mat.9
FS	6	2	0	8	0.75	0.25	0	conf.mat.95
HS	0	30	0	30	0	1	0	conf.mat.95
UR	0	26	9836	9862	0	0.00263638207260191	0.997363617927398	conf.mat.95
FS	10	0	0	10	1	0	0	conf.mat.97
HS	0	22	0	22	0	1	0	conf.mat.97
UR	0	24	9844	9868	0	0.00243210376976084	0.997567896230239	conf.mat.97
FS	12	0	0	12	1	0	0	conf.mat.98
HS	0	46	0	46	0	1	0	conf.mat.98
UR	0	20	9822	9842	0	0.00203210729526519	0.997967892704735	conf.mat.98
FS	8	0	0	8	1	0	0	conf.mat.99
HS	0	62	0	62	0	1	0	conf.mat.99
UR	0	18	9812	9830	0	0.00183112919633774	0.998168870803662	conf.mat.99
FS	20	0	0	20	1	0	0	conf.mat.colony2_sim_1.Dat
HS	0	44	0	44	0	1	0	conf.mat.colony2_sim_1.Dat
UR	0	16	9820	9836	0	0.002	0.998	conf.mat.colony2_sim_1.Dat
FS	16	0	0	16	1	0	0	conf.mat.colony2_sim_10.Dat
HS	0	42	0	42	0	1	0	conf.mat.colony2_sim_10.Dat
UR	0	20	9822	9842	0	0.002	0.998	conf.mat.colony2_sim_10.Dat
FS	10	0	0	10	1	0	0	conf.mat.colony2_sim_100.Dat
HS	0	44	0	44	0	1	0	conf.mat.colony2_sim_100.Dat
UR	0	18	9828	9846	0	0.002	0.998	conf.mat.colony2_sim_100.Dat
FS	2	0	0	2	1	0	0	conf.mat.colony2_sim_11.Dat
HS	0	32	0	32	0	1	0	conf.mat.colony2_sim_11.Dat
UR	0	28	9838	9866	0	0.003	0.997	conf.mat.colony2_sim_11.Dat
FS	6	0	0	6	1	0	0	conf.mat.colony2_sim_12.Dat
HS	0	22	0	22	0	1	0	conf.mat.colony2_sim_12.Dat
UR	0	24	9848	9872	0	0.002	0.998	conf.mat.colony2_sim_12.Dat
FS	16	0	0	16	1	0	0	conf.mat.colony2_sim_16.Dat
HS	0	16	0	16	0	1	0	conf.mat.colony2_sim_16.Dat
UR	0	20	9848	9868	0	0.002	0.998	conf.mat.colony2_sim_16.Dat
FS	14	0	0	14	1	0	0	conf.mat.colony2_sim_17.Dat
HS	0	34	0	34	0	1	0	conf.mat.colony2_sim_17.Dat
UR	0	22	9830	9852	0	0.002	0.998	conf.mat.colony2_sim_17.Dat
FS	6	0	0	6	1	0	0	conf.mat.colony2_sim_19.Dat
HS	0	28	0	28	0	1	0	conf.mat.colony2_sim_19.Dat
UR	0	16	9850	9866	0	0.002	0.998	conf.mat.colony2_sim_19.Dat
FS	14	0	0	14	1	0	0	conf.mat.colony2_sim_20.Dat
HS	0	20	2	22	0	0.909	0.091	conf.mat.colony2_sim_20.Dat
UR	0	24	9840	9864	0	0.002	0.998	conf.mat.colony2_sim_20.Dat
FS	10	0	0	10	1	0	0	conf.mat.colony2_sim_21.Dat
HS	0	26	0	26	0	1	0	conf.mat.colony2_sim_21.Dat
UR	0	20	9844	9864	0	0.002	0.998	conf.mat.colony2_sim_21.Dat
FS	18	0	0	18	1	0	0	conf.mat.colony2_sim_23.Dat
HS	0	24	0	24	0	1	0	conf.mat.colony2_sim_23.Dat
UR	0	22	9836	9858	0	0.002	0.998	conf.mat.colony2_sim_23.Dat
FS	8	2	0	10	0.8	0.2	0	conf.mat.colony2_sim_24.Dat
HS	0	20	0	20	0	1	0	conf.mat.colony2_sim_24.Dat
UR	0	24	9846	9870	0	0.002	0.998	conf.mat.colony2_sim_24.Dat
FS	26	0	0	26	1	0	0	conf.mat.colony2_sim_25.Dat
HS	0	22	0	22	0	1	0	conf.mat.colony2_sim_25.Dat
